filename,textdate_from,textdate_to,author,recipient,large_region,year,letter_type,script_type,letter_type2,script_type2,id,bi,ms,fn,wgr,agr,lcinf,class,lclet,wc,st,date,X
1138_33_m1650,16941105,16941105,"JohnCampbellofGlenorchy,1stEarlofBreadalbane","AlexanderCampbellofBarcaldine,Lieutenant,hischamberlain",South-West,1694,autograph,non-secretary,informationunavailable,informationunavailable,1614,informationunavailable,NRSGD17062943,1Breadalbane6941105,male,male,Argyllshire,unspecified,Edinburgh,906,acopyintheCSCarchive,1694November5,NA
78_60_f1600,16000701,16000701,"AgnesKeith,CountessofMorton","WilliamDouglas,7thEarlofMorton,herhusband",North-East,1600,autograph,italic,informationunavailable,informationunavailable,642,informationunavailable,NLSMS7834,KeithMAgnes6000701,female,male,Aberdeenshire,unspecified,unspecified,892,acopyintheCSCarchive,1600July1,NA
153_14_f1650,16611104,16611104,"MargaretDouglas,CountessandMarchionessofArgyll","ArchibaldCampbell,9thEarlofArgyll,herson",South-West,1661,autograph,non-secretary,informationunavailable,informationunavailable,468,informationunavailable,NLSMS313821,DouglasAMargaret6611104,female,male,Argyllshire,unspecified,Rosneath,890,acopyintheCSCarchive,1661November4,NA
294_3_f1700,17000527,17000527,"MargaretCampbell,CountessofBalcarres",unspecified,South-West,1700,autograph,non-secretary,informationunavailable,informationunavailable,1220,informationunavailable,NRSGD4514277,CampbellBMargaret7000527,female,unspecified,Ayrshire,unspecified,unspecified,888,acopyintheCSCarchive,1700May27,NA
1371_5_m1700,17160321,17160321,"SimonFraser,11thLordLovat","JohnGordon(Sutherland),16thEarlofSutherland,LordStrathnaver",North,1716,autograph,non-secretary,informationunavailable,informationunavailable,1818,"previouslyeditedbySirWilliamFraserintheSutherlandBook,vol.2,207",NLSDep313532,11LLovat7160321,male,male,Invernessshire,unspecified,Inverness,872,acopyintheCSCarchive,1716March21,NA
1421_55_m1700,17171022,17171022,"JohnErskine,23rd6thEarlofMar","AlexanderRobertson,17thofStrowan,Brigadier",South-East,1717,autograph,non-secretary,informationunavailable,informationunavailable,1786,informationunavailable,NLSADVMS13.1.8,23Mar7171022,male,male,Stirlingshire,unspecified,PontBeauvoisin,862,acopyintheCSCarchive,1717October22,NA
1113_8_m1650,16560228,16560228,"JohnGordon,14thEarlofSutherland",LudovickGordonorGordonstoun,North,1656,autograph,non-secretary,informationunavailable,informationunavailable,379,"previouslyeditedbySirWilliamFraserintheSutherlandBook,vol.2,172",NLSDep313,14Sutherland6560228,male,male,Sutherland,unspecified,Dunrobin,854,acopyintheCSCarchive,1656February28,NA
1115_10_m1650,16600629,16600629,"JohnGordon,14thEarlofSutherland","GeorgeGordon,15thEarlofSutherland,hisson",North,1660,autograph,non-secretary,informationunavailable,informationunavailable,383,informationunavailable,NLSDep313488,14Sutherland6600629,male,male,Sutherland,unspecified,Dunrobin,805,acopyintheCSCarchive,1660June29,NA
478_134_m1540,15470810,15470810,AdamOtterburnofAuldhameandReidhall,"JamesHamilton,2ndEarlofArran,DukeofChatellerault",South-East,1547,autograph,secretary,informationunavailable,informationunavailable,46,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,141",NRSSP22,OtterburnARAdam5470810,male,male,Lothian,unspecified,London,802,acopyintheCSCarchive,1547August10,NA
449_105_m1540,15490401,15490430,JohnHepburnofDalry,"JamesHepburn,4thEarlofBothwell",South-West,1549,autograph,secretary,informationunavailable,informationunavailable,251,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,210",NRSSP23,HepburnDJohn5490400,male,male,Ayrshire,unspecified,Edinburgh,771,acopyintheCSCarchive,1549April,NA
697_61_m1600,16070107,16070107,"AlexanderSeton,1stEarlofDunfermline",KingJamesVI,South-East,1607,autograph,secretary,informationunavailable,informationunavailable,1533,informationunavailable,"NLSAdvMS33.1.1,vol.2",1Dunfermline6070107,male,royal,Fife,unspecified,Edinburgh,769,acopyintheCSCarchive,1607January7,NA
682_46_m1600,16000301,16000301,"JamesHamilton,1stDukeofHamilton",KingJamesVI,Central,1600,autograph,italic,informationunavailable,informationunavailable,1332,informationunavailable,"NLSAdvMS33.1.1,vol.1",1DHamilton6000301,male,royal,Lanarkshire,unspecified,Hamilton,758,acopyintheCSCarchive,1600March1,NA
771_135_m1600,16160106,16160106,"WilliamDouglas,BaronofDrumlanrig,1stEarlofQueensberry",JohnMurrayofLochmaben,South-West,1616,autograph,secretary,informationunavailable,informationunavailable,1441,informationunavailable,"NLSAdvMS33.1.1,vol.7",1Queensberry6160106,male,male,South-West,unspecified,Edinburgh,753,acopyintheCSCarchive,1616January6,NA
350_6_m1540,15471231,15471231,"HenryStewart,1stLordMethven","MaryofLorraine,QueenDowager",Central,1547,autograph,secretary,informationunavailable,informationunavailable,98,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,149",NRSSP22,1LMethven5471231,male,royal,Perthshire,unspecified,Perth,747,transcribedinsitu,1547December31,NA
441_97_m1540,15510614,15510614,"JohnHamilton,archbishopofSt.Andrews","MaryofLorraine,QueenDowager",Unspecified,1551,autograph,secretary,informationunavailable,informationunavailable,89,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,239",NRSSP23,HamiltonStAJohn5510614,male,royal,Unspecified,Professional,Peebles,746,transcribedinsitu,1551June14,NA
1134_29_m1650,16880824,16880824,"JohnCampbellofGlenorchy,1stEarlofBreadalbane","AlexanderCampbellofBarcaldine,Lieutenant,hischamberlain",South-West,1688,autograph,non-secretary,informationunavailable,informationunavailable,1610,informationunavailable,NRSGD17062911,1Breadalbane6880824II,male,male,Argyllshire,unspecified,Finlarig,737,acopyintheCSCarchive,1688August24,NA
462_118_m1540,15440616,15440616,AdamOtterburnofAuldhameandReidhall,"MaryofLorraine,QueenDowager",South-East,1544,autograph,secretary,informationunavailable,informationunavailable,29,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,72",NRSSP21,OtterburnARAdam5440616,male,royal,Lothian,unspecified,Edinburgh,733,transcribedinsitu,1544June16,NA
646_10_m1600,16000607,16000607,"JamesDouglas,later10thEarlofMorton","WilliamDouglas,7thEarlofMorton,hisfather",South-East,1600,autograph,non-secretary,informationunavailable,informationunavailable,1408,informationunavailable,NLSMS7841,10Morton6000607,male,male,Lothian,unspecified,Edinburgh,727,acopyintheCSCarchive,1600June7,NA
71_53_f1600,16421228,16421228,AnnaHepburn,"LiliasMurrayofTullibardine,LadyGrant",Unlocalised,1642,autograph,italic,informationunavailable,informationunavailable,1049,informationunavailable,NRSGD24846319,HepburnAnna6421228,female,female,unlocalised,unspecified,Leith,715,acopyintheCSCarchive,1642December28,NA
1373_7_m1700,17170923,17170923,"SimonFraser,11thLordLovat","JohnGordon(Sutherland),16thEarlofSutherland,LordStrathnaver",North,1717,autograph,non-secretary,informationunavailable,informationunavailable,1819,"previouslyeditedbySirWilliamFraserintheSutherlandBook,vol.2,216",NLSDep313532,11LLovat7170923,male,male,Invernessshire,unspecified,London,701,acopyintheCSCarchive,1717September23,NA
1422_56_m1700,17180804,17180804,"JohnErskine,23rd6thEarlofMar","AlexanderRobertson,17thofStrowan,Brigadier",South-East,1718,autograph,non-secretary,informationunavailable,informationunavailable,1787,informationunavailable,NLSADVMS13.1.8,23Mar7180804,male,male,Stirlingshire,unspecified,Urbino,696,acopyintheCSCarchive,1718August4,NA
75_57_f1600,16000224,16000224,"AgnesKeith,CountessofMorton","WilliamDouglas,7thEarlofMorton,herhusband",North-East,1600,autograph,italic,informationunavailable,informationunavailable,640,informationunavailable,NLSMS7832,KeithMAgnes6000224,female,male,Aberdeenshire,unspecified,Dalkeith,694,acopyintheCSCarchive,1600February24,NA
54_36_f1600,16170516,16170516,"JaneGordon,CountessofSutherland","RobertGordonofGordonstoun,herson",North-East,1617,autograph,non-secretary,informationunavailable,informationunavailable,1041,"previouslyeditedbySirWilliamFraserintheSutherlandBook,vol.2,137",NLSDep313,GordonBSJane6170516,female,male,Aberdeenshire,unspecified,Dunrobin,692,acopyintheCSCarchive,1617May16,NA
1202_97_m1650,16860413,16860413,"JohnFleming,6thEarlofWigtown",JamesThreipland,Central,1686,autograph,non-secretary,non-autograph,secretary,725,informationunavailable,NLSMS2077244-45,6Wigtown6860413,male,male,Lanarkshire,unspecified,Cumbernauld,690,acopyintheCSCarchive,1686April13,NA
306_15_f1700,17281007,17281007,"MargaretHamilton,Countessofthe4thEarlofPanmure,LadyNairn",unspecifed,North-East,1728,informationunavailable,informationunavailable,non-autograph,copy,1229,informationunavailable,NRSGD45142811,HamiltonPMargaret7281007,female,unspecified,Angus,unspecified,Panmure,680,acopyintheCSCarchive,1728October7,NA
729_93_m1600,16050609,16050609,"JamesElphinstone,1stLordBalmerino",KingJamesVI,South-East,1605,autograph,non-secretary,informationunavailable,informationunavailable,1423,informationunavailable,"NLSAdvMS33.1.1,vol.1",1LBalmerino6050609,male,royal,Fife,unspecified,Edinburgh,666,acopyintheCSCarchive,1605June9,NA
121_103_f1600,16310101,16311231,"IsabellaSeton,CountessofPerth","AnnaLivingston,CountessofEglinton",South-East,1631,autograph,italic,informationunavailable,informationunavailable,189,"previouslyeditedbySirWilliamFraserintheMemorialsoftheMontgomeries,vol.1,58",NRSGD3517,SetonPIsabella6310000,female,female,Lothian,unspecified,unspecified,663,transcribedinsitu,1631,NA
693_57_m1600,16050420,16050420,"AlexanderSeton,1stEarlofDunfermline",KingJamesVI,South-East,1605,autograph,secretary,informationunavailable,informationunavailable,1333,informationunavailable,"NLSAdvMS33.1.1,vol.1",1Dunfermline6050420,male,royal,Fife,unspecified,Edinburgh,656,acopyintheCSCarchive,1605April20,NA
82_64_f1600,16300728,16300728,"ElizabethKerofCessford,LadyBellenden","MargaretScott,CountessofEglinton",South-East,1630,autograph,italic,informationunavailable,informationunavailable,592,"previouslyeditedbySirWilliamFraserintheMemorialsoftheMontgomeries,vol.1,119",NRSGD35187,KerCElizabeth6300728,female,female,Borders,unspecified,unspecified,649,acopyintheCSCarchive,1630July28,NA
444_100_m1540,15590929,15590929,"JohnHamilton,archbishopofSt.Andrews","MaryofLorraine,QueenDowager",Unspecified,1559,autograph,secretary,informationunavailable,informationunavailable,92,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,281",NRSSP24,HamiltonStAJohn5590929,male,royal,Unspecified,Professional,Paisley,642,acopyintheCSCarchive,1559September29,NA
360_16_m1540,15520508,15520508,"GilbertKennedy,3rdEarlofCassillis","MaryofLorraine,QueenDowager",South-West,1552,autograph,secretary,informationunavailable,informationunavailable,60,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,242",NRSSP23,3Cassillis5520508,male,royal,Ayrshire,unspecified,Dumfries,640,transcribedinsitu,1552May8,NA
374_30_m1540,15510308,15540308,"GeorgeGordon,4thEarlofHuntly","MaryofLorraine,QueenDowager",North-East,1551,autograph,secretary,informationunavailable,informationunavailable,85,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,254",NRSSP24,4Huntly5510308,male,royal,Aberdeenshire,unspecified,Aberdeen,632,acopyintheCSCarchive,15514March8,NA
443_99_m1540,15590928,15590928,"JohnHamilton,archbishopofSt.Andrews","MaryofLorraine,QueenDowager",Unspecified,1559,autograph,secretary,informationunavailable,informationunavailable,91,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,280",NRSSP24,HamiltonStAJohn5590928,male,royal,Unspecified,Professional,Hamilton,622,acopyintheCSCarchive,1559September28,NA
288_149_f1650,16780101,16781231,"JeanWemyss,CountessofSutherland",unspecified,North,1678,autograph,non-secretary,informationunavailable,informationunavailable,1182,informationunavailable,"NLSMSDep17569,Bundle2",WemyssSJean6780000,female,unspecified,Sutherland,unspecified,unspecified,617,acopyintheCSCarchive,1678,NA
1413_47_m1700,17151030,17151030,"JohnErskine,23rd6thEarlofMar","AlexanderRobertson,17thofStrowan,Brigadier",South-East,1715,autograph,non-secretary,informationunavailable,informationunavailable,1778,informationunavailable,NLSADVMS13.1.8,23Mar7151030,male,male,Stirlingshire,unspecified,Perth,608,acopyintheCSCarchive,1715October30,NA
1204_99_m1650,16631123,16631123,"HughMontgomery,7thEarlofEglinton","theDukeofOrmond,LordLieutenantofIreland",South-West,1663,autograph,non-secretary,informationunavailable,informationunavailable,550,"previouslyeditedbySirWilliamFraserintheMemorialsoftheMontgomeries,vol.1,215",NRSGD35603,7Eglinton6631123,male,male,Ayrshire,unspecified,Montgomerieston,605,acopyintheCSCarchive,1663November23,NA
690_54_m1600,16020429,16020429,"AlexanderSeton,1stEarlofDunfermline",KingJamesVI,South-East,1602,autograph,non-secretary,informationunavailable,informationunavailable,1420,informationunavailable,"NLSAdvMS33.1.1,vol.1",1Dunfermline6020429,male,royal,Fife,unspecified,Edinburgh,603,acopyintheCSCarchive,1602April29,NA
242_103_f1650,16971125,16971125,"IsobelMackenzie,CountessofSeaforth",unspecified,North,1697,autograph,italic,informationunavailable,informationunavailable,1165,informationunavailable,NLSMS1356,MackenzieSIsobel6971125,female,unspecified,Ross,unspecified,unspecified,602,acopyintheCSCarchive,1697November25,NA
1186_81_m1650,16620621,16620621,"JamesOgilvy,3rdEarlofFindlater","AnneMontgomery,CountessofFindlater,hiswife",North-East,1662,autograph,non-secretary,informationunavailable,informationunavailable,790,informationunavailable,NRSGD24855626,3Findlater6620621,male,female,Angus,unspecified,Edinburgh,599,acopyintheCSCarchive,1662June21,NA
447_103_m1540,15450515,15450515,"JohnHay,postulateofSodor","MaryofLorraine,QueenDowager",Unspecified,1545,autograph,secretary,informationunavailable,informationunavailable,93,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,101",NRSSP22,HayJohn5450515,male,royal,Unspecified,Professional,Brest,589,acopyintheCSCarchive,1545May15,NA
384_40_m1540,15940607,15940607,"JamesOgilvy,5thLordOgilvyofAirlie",JohnOgilvyofInverquharity,North-East,1594,autograph,secretary,informationunavailable,informationunavailable,851,informationunavailable,NRSGD205120,5LOgilvy5940607,male,male,Angus,unspecified,Farnell,583,acopyintheCSCarchive,1594June7,NA
1466_100_m1700,17110322,17110322,PatrickMcDowallofFreugh,unspecified,South-West,1711,autograph,non-secretary,informationunavailable,informationunavailable,1823,informationunavailable,NRSGD101421139,McDowallFPatrick7110322,male,unspecified,South-West,unspecified,Balgreggan,576,acopyintheCSCarchive,1711March22,NA
445_101_m1540,15701129,15701129,"AlexanderHay,clerkofPrivyCouncil","JohnErskine,18th1stEarlofMar,RegentofScotland",Unspecified,1570,autograph,secretary,informationunavailable,informationunavailable,1311,informationunavailable,NRSGD124155,HayAlexander5701129,male,male,Unspecified,Professional,Edinburgh,573,acopyintheCSCarchive,1570November29,NA
435_91_m1540,15491008,15491008,"AlexanderGordon,postulateofCaithness","MaryofLorraine,QueenDowager",North-East,1549,autograph,secretary,informationunavailable,informationunavailable,14,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,219",NRSSP23,GordonCAlexander5491008II,male,royal,Aberdeenshire,unspecified,Dumbarton,572,transcribedinsitu,1549October8,NA
302_11_f1700,17021222,17021222,"MargaretHamilton,Countessofthe4thEarlofPanmure,LadyNairn",unspecifed,North-East,1702,autograph,non-secretary,informationunavailable,informationunavailable,1228,informationunavailable,NRSGD45142452,HamiltonPMargaret7021222,female,unspecified,Angus,unspecified,Nairn,570,transcribedinsitu,1702December22,NA
773_137_m1600,16190103,16190103,"JohnFleming,1stEarlofWigtown",HisMajesty’sSignet,Central,1619,autograph,secretary,informationunavailable,informationunavailable,717,informationunavailable,NLSMS207723-4,1Wigtown6190103,male,male,Lanarkshire,unspecified,Cumbernauld,568,acopyintheCSCarchive,1619January3,NA
416_72_m1540,15441018,15441018,GeorgeDouglasofPittendreich,"MaryofLorraine,QueenDowager",South-East,1544,autograph,secretary,informationunavailable,informationunavailable,78,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,87",NRSSP22,DouglasPGeorge5441018,male,royal,Lothian,unspecified,Tantallon,560,acopyintheCSCarchive,1544October18,NA
1133_28_m1650,16880824,16880824,"JohnCampbellofGlenorchy,1stEarlofBreadalbane","AlexanderCampbellofBarcaldine,Lieutenant,hischamberlain",South-West,1688,autograph,non-secretary,informationunavailable,informationunavailable,1609,informationunavailable,NRSGD17062910,1Breadalbane6880824I,male,male,Argyllshire,unspecified,Finlarig,559,acopyintheCSCarchive,1688August24,NA
170_31_f1650,16710213,16710213,"SophiaErskine,wifeofAlexanderFraser,MasterofSaltoun","AnneMontgomery,CountessofFindlater",North-East,1671,autograph,non-secretary,informationunavailable,informationunavailable,633,informationunavailable,NRSGD24855652,ErskineFSophia6710213,female,female,Aberdeenshire,unspecified,Fraserburgh,558,acopyintheCSCarchive,1671February13,NA
1152_47_m1650,16851212,16851212,"PatrickHume,1stEarlofMarchmont","GrizelKer,CountessofMarchmont,hiswife",South-East,1685,autograph,non-secretary,informationunavailable,informationunavailable,1693,informationunavailable,NRSGD15810187,1Marchmont6851212,male,female,Borders,unspecified,Bordeaux,554,acopyintheCSCarchive,1685December12,NA
1474_108_m1700,17110416,17110416,"AlexanderRoss,Solicitor",unspecified,Unspecified,1711,autograph,non-secretary,informationunavailable,informationunavailable,1843,informationunavailable,NLSDep313572,RossAlexander7110416,male,unspecified,Unspecified,Professional,Edinburgh,553,acopyintheCSCarchive,1711April16,NA
155_16_f1650,16650928,16650928,MargaretDouglas,herson,Unlocalised,1665,autograph,italic,informationunavailable,informationunavailable,1115,informationunavailable,NLSMS9755-6,DouglasMargaret6650928,female,male,unlocalised,unspecified,Rosneth,548,acopyintheCSCarchive,1665September28,NA
1121_16_m1650,16710106,16710106,"JohnGordon,14thEarlofSutherland","JeanWemyss,CountessofSutherland,hisdaughter-in-law",North,1671,autograph,non-secretary,informationunavailable,informationunavailable,1599,informationunavailable,informationunavailable,14Sutherland6710106,male,female,Sutherland,unspecified,Edinburgh,547,acopyintheCSCarchive,1671January6,NA
1114_9_m1650,16600327,16600327,"JohnGordon,14thEarlofSutherland","GeorgeGordon,15thEarlofSutherland,hisson",North,1660,autograph,non-secretary,informationunavailable,informationunavailable,382,informationunavailable,NLSDep313488,14Sutherland6600327,male,male,Sutherland,unspecified,Dunrobin,545,acopyintheCSCarchive,1660March27,NA
1122_17_m1650,16780528,16780528,"JohnGordon,14thEarlofSutherland",GordonofGordonstounyounger,North,1678,autograph,non-secretary,informationunavailable,informationunavailable,1712,informationunavailable,"NLSDep17569,Bundle2",14Sutherland6780528,male,male,Sutherland,unspecified,London,544,acopyintheCSCarchive,1678May28,NA
330_39_f1700,17090411,17090411,"IsabelMackenzie,CountessofSeaforth",unspecified,North,1709,autograph,non-secretary,informationunavailable,informationunavailable,1253,informationunavailable,informationunavailable,MackenzieSIsabel7090411,female,unspecified,Ross,unspecified,unspecified,543,acopyintheCSCarchive,1709April11,NA
1392_26_m1700,17250704,17250704,"JohnHayofCromlix,1stDukeofInverness",unspecified,Central,1725,autograph,non-secretary,informationunavailable,informationunavailable,1808,informationunavailable,NLSADVMS13.1.8,1DInverness7250704,male,unspecified,Perthshire,unspecified,unspecified,541,acopyintheCSCarchive,1725July4,NA
1376_10_m1700,17050618,17050618,"JohnGordon(Sutherland),16thEarlofSutherland,LordStrathnaver","JohnCampbell,2ndDukeofArgyll",North,1705,autograph,non-secretary,informationunavailable,informationunavailable,354,"previouslyeditedbySirWilliamFraserintheSutherlandBook,vol.2,196",NLSDep313532,16Sutherland7050618II,male,male,Sutherland,unspecified,Dunrobin,539,acopyintheCSCarchive,1705June18,NA
1124_19_m1650,16790604,16790604,"JohnGordon,14thEarlofSutherland",MrJohnGordon,North,1679,autograph,non-secretary,informationunavailable,informationunavailable,1596,informationunavailable,"NLSDep17569,Bundle3",14Sutherland6790604,male,male,Sutherland,unspecified,Edinburgh,537,acopyintheCSCarchive,1679June4,NA
